,,,,,,,,,,
New Features,0,2,0,11,7,1,0,9,12,5
Fixes,39,20,33,10,20,14,6,38,5,7
Parity Changes,3,1,0,1,6,0,0,6,1,5
Addons,33,5,7,6,7,7,0,4,6,3
Gametest,25,14,9,2,3,4,0,47,16,24
